datetime,price_open,price_high,price_low,price_close,volume,return_1d,return_3d,return_5d,return_10d,return_20d,volatility_10d,volatility_20d,volatility_30d,vol_ratio_10_30,sma_ratio_10_50,sma_ratio_20_50,rsi_14,bb_pct_b,volume_ratio,volume_trend,price_position_20d,price_position_50d,hl_spread_ma,intraday_vol,close_to_high,log_tx_daily,tx_ma_7,fee_per_tx,hashrate_log,difficulty_log,nupl,active_addr_zscore,realised_cap_log,cdd_log,total_supply_log,mempool_size,exchange_volume_usd,average_block_size,fear_greed_value,prev_close,today_Open_pct,close_to_open_return,return_1d_orig,target,_trainable,dummy_zero
2010-09-22,1.39,1.4,1.32,1.32,14443500,-0.04347826086956508,-0.022222222222222254,-0.1020408163265305,-0.050359712230215736,0.03125,0.03474210001826342,0.02955315666490476,0.031991899727153966,1.0859651804023176,1.029017857142857,1.0167410714285712,46.153846029585786,-0.0443982936192312,1.4532913751858307,1.989057677359957,0.26666665777777826,0.4210526204986155,0.05999999999999994,6.060606060606049,0.9999998750000156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.007246376811594235,-0.050359712230215736,-0.04347826086956508,0,True,0.0
2010-09-23,1.33,1.34,1.3,1.3,10021500,-0.015151515151515138,-0.07142857142857129,-0.07142857142857129,-0.05797101449275355,-0.022556390977443663,0.034898646702468235,0.028435558787325888,0.02976664633854264,1.1724073508814141,1.0233700506103007,1.0159273593331348,39.999999887999984,-0.2296077485212089,0.9959675315479163,1.3634364681241196,0.0399999984000001,0.3684210429362886,0.05749999999999994,3.0769230769230793,0.9999997500000625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.007575757575757569,-0.022556390977443663,-0.015151515151515138,1,True,0.0
2010-09-24,1.33,1.35,1.31,1.34,8683500,0.030769230769230882,-0.02898550724637672,-0.007407407407407418,0.0,0.015151515151515138,0.03552270346598768,0.029233961627650323,0.029921095938364443,1.1872122487438188,1.0232177407352285,1.0165203155231435,44.44444432921811,0.20250034673493944,0.8537592543432735,1.1660914963277587,0.19999999200000051,0.4736841980609424,0.05749999999999994,2.985074626865674,0.24999993750001562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.023076923076922995,0.007518796992481258,0.030769230769230882,1,True,0.0
2010-09-27,1.36,1.39,1.34,1.37,6279000,0.02238805970149249,0.037878787878787845,-0.02142857142857124,-0.007246376811594013,0.04580152671755733,0.03491236548928338,0.029529114247780694,0.02925868892927565,1.193230279093196,1.022625781482584,1.0189044358440014,49.999999870370374,0.5120011102931542,0.6155791826590785,1.0071910707195482,0.3199999872000008,0.5526315644044328,0.05899999999999993,3.649635036496337,0.39999992000001333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,0.014925373134328401,0.007352941176470562,0.02238805970149249,1,True,0.0
2010-09-28,1.4,1.43,1.38,1.43,18217500,0.04379562043795615,0.09999999999999987,0.03623188405797095,0.014184397163120588,0.08333333333333326,0.03708016923495521,0.03092408968209008,0.029920872596098328,1.239273912320703,1.024571854058079,1.0234549516008937,53.44827573305589,1.1589568941335675,1.724909280707859,1.0916140577620919,0.5599999776000005,0.7105262970914131,0.05949999999999993,3.4965034965034993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.021897810218977964,0.021428571428571352,0.04379562043795615,1,True,0.0
2010-09-29,1.41,1.47,1.41,1.47,29539500,0.027972027972027913,0.09701492537313428,0.11363636363636354,0.0,0.13076923076923075,0.03556532754717044,0.030987711825701217,0.03001681831573052,1.1848462859925875,1.0227441653039988,1.0279470789356326,57.37704904864285,1.5018511860484085,2.4849054580097287,1.2238156226143684,0.7083333038194454,0.8157894522160669,0.06099999999999993,4.081632653061228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,-0.013986013986013957,0.042553191489361764,0.027972027972027913,0,True,0.0
2010-09-30,1.47,1.48,1.35,1.36,32937000,-0.07482993197278909,-0.007299270072992692,0.04615384615384621,-0.02857142857142847,0.0,0.04037742286806361,0.034476525851859854,0.033015885316433846,1.2229691935073927,1.01961950059453,1.0277942925089179,51.47058812932526,0.23514278989524923,2.502193607201869,1.453387271380548,0.249999989583334,0.5263157756232694,0.06399999999999993,9.558823529411756,0.9230768520710113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,0.0,-0.07482993197278909,-0.07482993197278909,1,True,0.0
2010-10-01,1.38,1.38,1.35,1.37,8965500,0.007352941176470562,-0.04195804195804187,0.02238805970149249,0.014814814814814836,-0.02142857142857124,0.03865987436728264,0.033852528115802825,0.033017483541810236,1.170890646751469,1.0215613382899629,1.0271375464684014,49.23076912473375,0.36726532993439803,0.6768356207818091,1.4485437332970965,0.2916666545138897,0.5526315644044328,0.06199999999999993,2.1897810218977956,0.3333332222222543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.014705882352941124,-0.007246376811594013,0.007352941176470562,1,True,0.0
2010-10-04,1.36,1.41,1.35,1.4,9654000,0.021897810218977964,-0.04761904761904767,0.021897810218977964,0.0,0.0,0.03741870362793227,0.03422271983775616,0.0331113430216822,1.1300868195699978,1.0218652387327085,1.0274431057563587,49.230769124733726,0.7135296866272751,0.7202891900663659,1.4819647913332512,0.41666664930555575,0.6315789307479227,0.06299999999999992,4.285714285714274,0.16666663888889413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,-0.007299270072992692,0.02941176470588225,0.021897810218977964,1,True,0.0
2010-10-05,1.41,1.42,1.4,1.41,4980000,0.0071428571428571175,0.03676470588235281,-0.013986013986013957,0.021739130434782705,0.029197080291970767,0.037080837440358554,0.033850697539862536,0.03167408149247793,1.1706993221625515,1.0239440809042237,1.02877751338489,44.99999989499999,0.8033253268918319,0.36972693661187583,1.2780970199118,0.4583333142361114,0.6578947195290862,0.06249999999999993,1.4184397163120581,0.499999750000125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0071428571428571175,0.0,0.0071428571428571175,0,True,0.0
