fold,regime,strategy,sharpe,trades,ann_ret,max_dd,sma_sharpe,bh_sharpe
Fold 1,Bull,regime_sma_rsi,1.2936491118112818,12,0.37714104350220307,-0.1800378414229061,0.6236630534335491,1.7149237481116244
Fold 2,Bull,regime_sma_rsi,0.8794539138168841,7,0.2732218802647372,-0.13685133471574332,1.3864911838719793,1.778739219570024
Fold 3,Bull,regime_sma_rsi,0.7086849186934874,5,0.16857610997508846,-0.1067799436392828,1.2486331236384804,0.821106975088385
Fold 4,Bear,regime_sma_rsi,-0.07658640057278425,6,-0.018245896160193988,-0.15018104491519718,0.3227250905792362,-0.9359410210890062
Fold 5,Recov,regime_sma_rsi,2.9492298969978656,8,0.8639043520285699,-0.07888170965303103,3.9069663794794303,4.570400504656134
Fold 6,Peak,regime_sma_rsi,-0.03202755815664692,8,-0.0056174275992206075,-0.15148529314372436,0.3231984885682296,1.18119055541177
Fold 7,Crash,regime_sma_rsi,0.3606848560734968,7,0.04481789641050865,-0.05076857087079317,-2.0164494171868688,-0.35745256682710336
Fold 8,Recov,regime_sma_rsi,2.3795710483379824,3,0.7790353020427117,-0.11541922043854358,2.5750881297825354,1.894204542934514
