fold,regime,sma,bh,regime_sharpe,regime_trades,lstm_sharpe,lstm_trades,hybrid_sharpe,hybrid_trades
Fold 1,Recov,3.095052215990897,3.797590178442972,3.129942182715952,3,2.849397784422943,4,3.2743632151532425,9
Fold 2,Peak,0.42241572593469695,0.9814627078040604,0.06311265360109627,6,2.204750626822259,16,2.4255986267245846,6
Fold 3,Crash,-1.59458825524526,-0.297010810290578,-2.282887431024442,9,0.011113749300494118,9,0.33590935478416145,9
Fold 4,Recov,1.9584353572145627,1.5739129535471035,2.0420855428665456,3,-0.20448337998195218,6,1.4882945343082983,20
Fold 5,Bull,0.41425684563968285,1.4249468020668008,0.14874409091989443,10,1.7257798795511674,3,2.6745554575718127,18
Fold 6,Bull,1.07563065967016,1.4779716969522467,0.8481697441771501,7,-0.3795057984022275,17,1.2479332849898717,17
Fold 7,Bull,0.6549930854012719,0.6822657618900881,0.8264391611855029,5,0.9960179114969802,9,0.889808616461105,8
Fold 8,Bear,0.17010645402370744,-0.7776824851761344,-0.5157587355003189,6,-0.8663073629067995,20,-0.1757250415531555,12
