fold,regime,tf_sharpe,tf_trades,tf_hybrid_sharpe,tf_hybrid_trades
Fold 1,Recov,1.7902021388272304,24,1.6302043762004563,29
Fold 2,Peak,0.0,0,1.479827043127282,16
Fold 3,Crash,-2.5929132785566407,12,-0.5036493822485238,24
Fold 4,Recov,0.3081273623718052,25,1.7009123788567764,15
Fold 5,Bull,1.3844882250364525,9,1.9262659468091905,10
Fold 6,Bull,1.8294565871867858,1,2.4068121318523836,11
Fold 7,Bull,-0.42658443189177697,26,0.5618938322857248,26
Fold 8,Bear,-0.27140314062322496,8,1.451171414627558,6
