fold,regime,xgb_sharpe,xgb_trades,xgb_hybrid_sharpe,xgb_hybrid_trades,bh_sharpe
Fold 1,Recov,2.2974614427949294,74,2.4198257921430666,66,3.797590178442972
Fold 2,Peak,0.711474592849285,78,0.42548331022091346,52,0.9814627078040604
Fold 3,Crash,0.4003141038558549,54,-1.2079689486173681,34,-0.297010810290578
Fold 4,Recov,0.7792090033498449,45,0.1423142116069934,45,1.5739129535471035
Fold 5,Bull,0.9412903832485173,62,1.2973418233502527,58,1.4249468020668008
Fold 6,Bull,1.8832889356373228,71,2.01112329181724,61,1.4779716969522467
Fold 7,Bull,1.8748874606506896,64,0.3096852429418319,50,0.6822657618900881
Fold 8,Bear,-0.9474505589874815,60,-1.0813665207486125,44,-0.7776824851761344
