fold,regime,ece,brier,accuracy,n
Fold 1,Recov,0.15862426432696256,0.26270647493411303,0.4025974025974026,154
Fold 2,Peak,0.08073135475059606,0.2576018150345182,0.474025974025974,154
Fold 3,Crash,0.09388651689151666,0.2567384795049011,0.525974025974026,154
Fold 4,Recov,0.06473189573009291,0.2562498541309234,0.5,154
Fold 5,Bull,0.04293306230714447,0.2504803326193425,0.5394736842105263,152
Fold 6,Bull,0.091827502498379,0.25414165435145786,0.474025974025974,154
Fold 7,Bull,0.04525044244646237,0.25019655194211793,0.48344370860927155,151
Fold 8,Bear,0.029653505071417063,0.2486763401504809,0.525974025974026,154
