fold,regime,reg_bin_sharpe,reg_bin_trades,reg_cont_sharpe,reg_cont_trades,lstm_bin_sharpe,lstm_bin_trades,lstm_cont_sharpe,lstm_cont_trades,hyb_bin_sharpe,hyb_bin_trades,hyb_cont_sharpe,hyb_cont_trades
Fold 1,Recov,3.129942182715952,3,3.1342572482028697,7,2.849397784422943,4,3.091051574226251,29,3.2743632151532425,9,3.2743632151532425,9
Fold 2,Peak,0.06311265360109627,6,0.06311265360109627,6,2.204750626822259,16,1.8669486424332078,52,2.4255986267245846,6,2.4255986267245846,6
Fold 3,Crash,-2.282887431024442,9,-2.309853212882481,15,0.011113749300494118,9,-0.11798357028824122,106,0.3083902152699605,9,0.33590935478416145,9
Fold 4,Recov,2.0420855428665456,3,2.103636432457967,10,-0.20448337998195218,6,1.192993985312312,45,1.0364116689474183,18,1.4882945343082983,20
Fold 5,Bull,0.14874409091989443,10,0.21272116497645996,20,1.7257798795511674,3,1.6539332421920052,84,2.57712608571053,14,2.6745554575718127,18
Fold 6,Bull,0.8481697441771501,7,0.869444638830493,8,-0.3795057984022275,17,1.7309182115803738,108,1.3485683114472315,15,1.2479332849898717,17
Fold 7,Bull,0.8264391611855029,5,0.8394063398062487,23,0.9960179114969802,9,0.5797782958422465,32,0.722335417232698,6,0.889808616461105,8
Fold 8,Bear,-0.5157587355003189,6,-0.5468075625930864,36,-0.8663073629067995,20,-1.0240112007685291,103,-0.10326515201113078,16,-0.1757250415531555,12
