fold,regime,rule_sharpe,rule_trades,hmm_sharpe,hmm_trades
Fold 1,Recov,3.2743632151532425,9,0.0,0
Fold 2,Peak,2.4255986267245846,6,2.239142054399743,9
Fold 3,Crash,0.33590935478416145,9,-0.6962641182044393,7
Fold 4,Recov,1.4882945343082983,20,0.0,0
Fold 5,Bull,2.6745554575718127,18,1.2303686078707818,30
Fold 6,Bull,1.2479332849898717,17,-0.5849282116862826,19
Fold 7,Bull,0.889808616461105,8,-0.2715613976205977,8
Fold 8,Bear,-0.1757250415531555,12,-1.0612030972409747,14
